reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
28dcd56c-4765-47ff-916d-5dc574feb9ae,md masud,https://play-lh.googleusercontent.com/a-/ALV-UjVnL9WichY1qG1aV8DEMRbIYug5fDkOYc-mlLp__N76HQhNs-7R,good,5,0,,2025-04-09 22:57:32,,,
e25d9e94-f57f-4117-8ac3-41e0674419e3,washif ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjUzxzgHYcPfRtM9cLaAvC_jjyvBvPKbSgI94rT8sQHqK6QGugqT,excellent app! Better than other banking apps.,5,0,4.0.3,2025-03-30 12:47:13,,,4.0.3
6f4a4789-6185-45e1-928e-e4148a5bb310,Md.Shoaib Hasan,https://play-lh.googleusercontent.com/a-/ALV-UjUrTIYsYg9n3JIpiYies8jEzRuMKR1TmE4ZnB_mSvvgz_2YUqTJ,Better than previous version. Hope so it will add some more feature for smooth service.,5,0,4.0.3,2025-03-29 09:20:17,,,4.0.3
a3652ea7-8932-4061-a64b-5eca76f7a623,Mahtabuzzaman Shabbir,https://play-lh.googleusercontent.com/a/ACg8ocJ-wpKHBeX75CHMRjFW2uKsdmzyigSOSqOW8NMNoNfT-Ms9tQ=mo,the recent update makes this app the most user friendly banking app i've ever used. Really appreciate,5,0,4.0.3,2025-03-26 19:31:25,,,4.0.3
173dbcb2-ca0b-415a-8f6c-fcb643a1978f,এসো নতুন কিছু শিখি,https://play-lh.googleusercontent.com/a-/ALV-UjUfgcZxnxFqKjVqNTsF8kflt-Kspo7UxPuTR7i-6WPgW-LGGmE,very helpful for solving,5,0,4.0.3,2025-03-25 02:00:35,,,4.0.3
c9050a33-a391-46ee-9743-4f8087cba581,rajib hossain,https://play-lh.googleusercontent.com/a-/ALV-UjU_Avsep8gEFTX5rK9HyGTEMpA88kT6SLNqgfZZxU-ljAY3RSY-,good,5,0,4.0.3,2025-03-21 13:41:28,,,4.0.3
8d100e99-b9f8-44db-aaa4-401978569a44,Tuhel Ahmed (Nazim),https://play-lh.googleusercontent.com/a-/ALV-UjUZjj5tLvfFHbW2zPScAdCKDaBE2_NUKRdixQFwJS7rBnODKHE,খুবই ভালো তবে সকল বুথে টাকা পাওয়া যায় না সবসময় এবং নেটওয়ার্ক ডাউন থাকে,5,0,4.0.3,2025-03-20 23:22:56,,,4.0.3
16db43fa-ba3a-4583-9b0d-884968224436,Sajjad Hossine Sharif,https://play-lh.googleusercontent.com/a-/ALV-UjVd2fOJKbhlLVTtxKGohRvasKqxx4S4ZcmSYFewRPCXu9u7RdYa,"This app does not allow to download FDR, DPS, MIDS statement which very important for personal tax return submission. Brac bank app is better than this. There is no point of mobile application if we cannot download statement.",1,0,4.0.3,2025-03-17 22:00:51,,,4.0.3
6c0538d1-a297-4418-90fa-77365a5109de,Saiyad Rubel Mehedi,https://play-lh.googleusercontent.com/a-/ALV-UjWcjhbcN5zFscfhS2WjLnXFW2OB6yYNTp8Wd9YK2eYno4GogmY,good,3,0,,2025-03-16 17:41:20,,,
7467704b-da5f-4f65-950c-09910749469b,Sajjat Hossan Liman,https://play-lh.googleusercontent.com/a-/ALV-UjWiobmCFkj5uwwi-utfhaiereeDkAhpkoNSUqljZtUe6F5gBoQ,Very good app,5,0,4.0.1,2025-03-15 23:43:08,,,4.0.1
cc233e57-1e6e-4cf0-ae31-f81633d1ae35,sayed mokituzzaman,https://play-lh.googleusercontent.com/a-/ALV-UjVD_kC9aqY8dfrptgwkGC6OPULwp07NNb9zpoIjGvLLOViR749z,"Best app in Bangladesh Banking system, but iOS app need bug fixing.",5,0,4.0.3,2025-03-13 13:39:16,,,4.0.3
37c226bc-8baf-4c3c-8ba0-6fd63de45fa8,Ashraf Roman,https://play-lh.googleusercontent.com/a-/ALV-UjVaiDHjtvauUfUjd4_kursrFwtxIR_J6xYFoj4b0Q6H0R_Dnt-C,"Not user friendly. can not transfer money to bkash, nagad etc. Please try to visit other bank's apps. you will get to know about your gaps.",1,0,4.0.3,2025-03-13 04:39:33,,,4.0.3
